Make,Volume,Doors,Style
Infiniti Q50,100 cu ft,4,Sedan
Toyota RAV4 XSE,136 cu ft,4,SUV
Honda Accord V6,106 cu ft,4,Sedan
Mercedes GLA 250,123 cu ft,4,SUV
Chevrolet Equinox LT,144 cu ft,4,SUV
Chevrolet Trailblazer,121 cu ft,4,SUV
Audi A5,99 cu ft,4,Sedan
Land Rover Discovery,170 cu ft,4,SUV
Ford Focus SE,95 cu ft,4,Sedan
Ford Bronco,136 cu ft,4,Jeep
